"Number","skills","Month_Exper"
"9","","144"
"13","OOP","200"
"13","Java 2 EE","200"
"13","JBOSS","200"
"13","XML","200"
"13","Microsoft Visual Studio 2005/2008","200"
"13","Microsoft SQL Server 2000/2005/2008","200"
"13","T-SQL","200"
"13","SSRS 2005/2008","200"
"13","SSAS 2005/2008","200"
"13","OLAP","200"
"13","MDX","200"
"13","ETL","200"
"13","SSIS 2005/2008","200"
"13","Sybase Power Designer v.12.0","200"
"13","Teradata","200"
"13","SAS 9.0","200"
"13","R","200"
"13","JMP 8.0","200"
"13","C++","200"
"13","MFC","200"
"13","Microsoft Visual C++","200"
"13","Windows Server 2003 / Windows XP","200"
"13","Sybase Adaptive Server Enterprise v.12.0","200"
"13","Sybase Replication Server v.11.0","200"
"13","Adaptive Server Anywhere Enterprise v.6.0. 12.0","200"
"13","IIS 6.0","200"
"13","ASP","200"
"13","HTML","200"
"13","VBScript / Java Script","200"
"31","J2EE","146"
"31","ESB","146"
"31","SOAP","146"
"31","Tuxedo Middleware","146"
"31","IBM Datastage","146"
"31","SOA","146"
"31","RDBMS","146"
"37","","492"
"57","","41"
"65","","63"
"79","","0"
"95","","211"
"109","","221"
"112","","59"
"137","","415"
"143","","192"
"150","","0"
"153","","72"
"176","","0"
"183","","492"
"198","","0"
"211","","204"
"228","","72"
"262","","268"
"264","","69"
"275","","0"
"276","","16"
"280","CORBA (ACE+TAO)","216"
"280","TCP/IP","216"
"280","multithreading","216"
"280","Unix/WIN32","216"
"280","GNU/ Visual C++","216"
"280","PowerDesiner 7.5","216"
"280","Rational Rose","216"
"280","Sybase 11.9.2/12.X","216"
"280","Oracle 8.X","216"
"280","TripleDES","216"
"280","RSA","216"
"280","MD5","216"
"280","SHA1 and etc","216"
"280","HP-UX/Windows XP","216"
"280","Oracle 9i/Sybase 11x/12.5","216"
"280","C++ (aCC HP-UX/Visual C++ WIN)","216"
"280","XML/XSLT(Xalan","216"
"280",".NET Framework)","216"
"280","OCCI","216"
"280","Pro C/C++","216"
"280","PL/SQL","216"
"280","ADO.Net","216"
"280","C#","216"
"280","Microsoft.Net","216"
"280","Rational Rose 2003","216"
"280","Erwin","216"
"280","PowerDesigner 9.5","216"
"280","make","216"
"280","cvs","216"
"280","gbd","216"
"280","shell scripting","216"
"280","SourceSafe","216"
"280","and nant","216"
"280","Windows/Linux Ubuntu Assembler/C/C#/C++/Java/ NVIDIA CUDA","216"
"280","PostgreSQL 8.X","216"
"280","WPF","216"
"280","Boost","216"
"280","PowerDesigner 12.5","216"
"280","Hibernate 3.X","216"
"280","SOAP/WSDL","216"
"280","axis2 1.4.1","216"
"280","Spring 2.X","216"
"280","jetty 6.1","216"
"280","Google Protocol Buffers 2.0.2","216"
"280","Sphinx 4.0","216"
"280","ffmpeg","216"
"280","lame","216"
"280","mencoder","216"
"280","ant 1.7","216"
"280","junit 3.8","216"
"280","maven 1.x/2.x","216"
"280","SVN","216"
"280","Eclipse","216"
"280","Windows XP/2000","216"
"280","MS SQL 2005","216"
"280",".NET Framework 1.1/2.0","216"
"280","MS Visual Studio 2003/2005","216"
"280","C++","216"
"280","Sparks Enterprise Architect 4.5","216"
"280","TSP/PSP","216"
"280","CQGenie(Seibel v. 2000)","216"
"280","nant","216"
"280","nunit","216"
"280","TestDriven.Net","216"
"280","NCover","216"
"280","CruiseControl.Net","216"
"280","CVS","216"
"322","JIRA","0"
"322","SVN","0"
"322","Microsoft Project","0"
"322","PowerDesigner","0"
"322","C#","0"
"322","ASP.NET 2.0","0"
"322","Oracle 11","0"
"322","HTML","0"
"322","JavaScript","0"
"322","Enterprise Library","0"
"322","DotNetNuke","0"
"322","3-tier","0"
"322","Delphi (3.0","0"
"322","7.0)","0"
"322","Informix (SPL-SQL","0"
"322","stored procedures)","0"
"322","VBScripts","0"
"322","FastReport","0"
"322","Jira","0"
"322","MS Project","0"
"322","UML","0"
"322","Rational Rose","0"
"322","ErWin","0"
"322","client-server","0"
"322","Delphi 5.0(ADO)","0"
"322","MS-SQL(T-SQL","0"
"322","DTS","0"
"322","DMO)","0"
"322","VBS","0"
"341","","110"
"343","","132"
"344","","60"
"349","","44"
"351","Visual Basic","154"
"351","ASP","154"
"351","MS SQL Server","154"
"351","Crystal Reports","154"
"351","Delphi","154"
"351","ISAPI","154"
"351","Visual-Basic 6.0","154"
"351","MS SQL SERVER 2000","154"
"351","XML","154"
"351","T-SQL","154"
"351","ADO(DAO)","154"
"351","C#","154"
"351","ADO.NET","154"
"351","WinForms","154"
"351","MS Visio","154"
"351","Oracle","154"
"351","Web Services","154"
"351","MS Access","154"
"352","","110"
"354","","12"
"357","","0"
"358","","120"
"361","","0"
"363","","36"
"365","","0"
"368","","29"
"369","","0"
"375","","56"
"378","J2SE","0"
"378","Sockets","0"
"378","AspectJ","0"
"378","log4j","0"
"378","JUnit","0"
"378","BeanShell","0"
"378","CruiseControl","0"
"378","RationalRobot","0"
"378","RationalRose","0"
"378","MS SQL","0"
"378","Visio","0"
"378","Microsoft Project","0"
"378","Clear Case","0"
"378","JDBC","0"
"378","Swing","0"
"378","XML-RPC","0"
"378","UML","0"
"378","Javadoc","0"
"378","MySQL","0"
"378","Oracle","0"
"378","CVS","0"
"378","Power Designer","0"
"378","Servlet/JSP","0"
"378","JavaMail","0"
"378","Perl","0"
"378","mySQL Oracle","0"
"378","Java communication API","0"
"378","Linux(RedHat)","0"
"378","Struts","0"
"378","JSTL","0"
"378","junit","0"
"378","Tomcat","0"
"378","Web 2.0","0"
"378","SVN","0"
"378","PCI DSS","0"
"378","ISO 8583","0"
"378","J2EE (EJB","0"
"378","JMS","0"
"378","Servlets/JSP)","0"
"378","JSF","0"
"378","JBoss Portal","0"
"378","Servlets/JSP","0"
"378","HttpUnit","0"
"378","CORBA","0"
"378","JGroups","0"
"378","Maven","0"
"378","BEA WebLogic","0"
"379","","29"
"383","","54"
"384","","0"
"385","","0"
"386","","0"
"393","","27"
"395","","108"
"396","","0"
"397","","161"
"398","","169"
"400","","0"
"401","","43"
"402","","192"
"403","","0"
